route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,short_trip_no
16,Local_Sunday_10_2307-PHNS_0000001,18965323,"Dobbins+Central",1,,160062,6246
16,Local_Sunday_10_2307-PHNS_0000001,18965324,"Dobbins+Central",1,,160062,6242
16,Local_Sunday_10_2307-PHNS_0000001,18965325,"Dobbins+Central",1,,160062,6245
39,Local_Sunday_10_2307-PHNS_0000001,18965326,"Dreamy Draw PNR",1,,390008,6685
39,Local_Sunday_10_2307-PHNS_0000001,18965327,"Dreamy Draw PNR",1,,390008,6689
39,Local_Sunday_10_2307-PHNS_0000001,18965328,"Dreamy Draw PNR",1,,390008,6686
39,Local_Sunday_10_2307-PHNS_0000001,18965329,"Dreamy Draw PNR",1,,390008,6692
16,Local_Sunday_10_2307-PHNS_0000001,18965330,"Dobbins+Central",1,,160062,6240
39,Local_Sunday_10_2307-PHNS_0000001,18965331,"Dreamy Draw PNR",1,,390008,6688
16,Local_Sunday_10_2307-PHNS_0000001,18965332,"Dobbins+Central",1,,160062,6234
16,Local_Sunday_10_2307-PHNS_0000001,18965333,"Dobbins+Central",1,,160062,6236
