path_id,service_route_id,o_zone_id,d_zone_id,unique_route_id,agent_type,demand_period,toll,travel_time,distance,link_sequence,node_sequence,geometry,prob,node_ids,link_ids,distance_mile,total_distance_km,total_free_flow_travel_time,total_travel_time,route_key,seed_od_volume,target_od_volume,final_est_od_volume,volume
943,0,14,11,1,transit,AM,0,47.406,44324.4,120;426;480;517;450;472;496;456;394;382;523;438;462;490;413,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;11,,0.774248,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;11,120;426;480;517;450;472;496;456;394;382;523;438;462;490;413,27.5478,44.3244,47.4059,47.406,1268_6519,55,0,55,42.5836
944,2,14,12,3,transit,AM,0,60.5585,56669,122;430;484;521;454;476;500;460;398;386;527;442;466;494;418;392;404;448;412;436;423,14;75;102;122;87;98;110;90;59;53;125;81;93;107;69;56;62;84;66;78;72;12,,0.0821884,14;75;102;122;87;98;110;90;59;53;125;81;93;107;69;56;62;84;66;78;72;12,122;430;484;521;454;476;500;460;398;386;527;442;466;494;418;392;404;448;412;436;423,35.22,56.669,60.5583,60.5585,1715_9093,2,0,2,0.164377
945,1,14,12,2,transit,AM,0,60.5584,56669,121;428;482;519;452;474;498;458;396;384;525;440;464;492;416;390;402;446;410;434;421,14;74;101;121;86;97;109;89;58;52;124;80;92;106;68;55;61;83;65;77;71;12,,0.143564,14;74;101;121;86;97;109;89;58;52;124;80;92;106;68;55;61;83;65;77;71;12,121;428;482;519;452;474;498;458;396;384;525;440;464;492;416;390;402;446;410;434;421,35.22,56.669,60.5583,60.5584,1695_9052,2,0,2,0.287127
946,0,14,12,1,transit,AM,0,60.5585,56669,120;426;480;517;450;472;496;456;394;382;523;438;462;490;414;388;400;444;408;432;419,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;54;60;82;64;76;70;12,,0.774248,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;54;60;82;64;76;70;12,120;426;480;517;450;472;496;456;394;382;523;438;462;490;414;388;400;444;408;432;419,35.22,56.669,60.5583,60.5585,1675_9011,2,0,2,1.5485
947,2,14,15,3,transit,AM,0,57.9791,54248,122;430;484;521;454;476;500;460;398;386;527;442;466;494;418;392;404;448;412;435,14;75;102;122;87;98;110;90;59;53;125;81;93;107;69;56;62;84;66;78;15,,0.0821884,14;75;102;122;87;98;110;90;59;53;125;81;93;107;69;56;62;84;66;78;15,122;430;484;521;454;476;500;460;398;386;527;442;466;494;418;392;404;448;412;435,33.7154,54.248,57.9789,57.9791,1646_8669,6,0,6,0.49313
948,1,14,15,2,transit,AM,0,57.979,54248,121;428;482;519;452;474;498;458;396;384;525;440;464;492;416;390;402;446;410;433,14;74;101;121;86;97;109;89;58;52;124;80;92;106;68;55;61;83;65;77;15,,0.143564,14;74;101;121;86;97;109;89;58;52;124;80;92;106;68;55;61;83;65;77;15,121;428;482;519;452;474;498;458;396;384;525;440;464;492;416;390;402;446;410;433,33.7154,54.248,57.9789,57.979,1627_8630,6,0,6,0.861382
949,0,14,15,1,transit,AM,0,57.979,54248,120;426;480;517;450;472;496;456;394;382;523;438;462;490;414;388;400;444;408;431,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;54;60;82;64;76;15,,0.774248,14;73;100;120;85;96;108;88;57;51;123;79;91;105;67;54;60;82;64;76;15,120;426;480;517;450;472;496;456;394;382;523;438;462;490;414;388;400;444;408;431,33.7154,54.248,57.9789,57.979,1608_8591,6,0,6,4.64549
950,2,14,19,3,transit,AM,0,45.1769,42232.2,122;430;484;521;454;476;500;460;398;386;527;441,14;75;102;122;87;98;110;90;59;53;125;81;19,,0.0821884,14;75;102;122;87;98;110;90;59;53;125;81;19,122;430;484;521;454;476;500;460;398;386;527;441,26.2475,42.2322,45.1767,45.1769,1035_5199,79,0,79,6.49288
951,1,14,19,2,transit,AM,0,45.1768,42232.2,121;428;482;519;452;474;498;458;396;384;525;439,14;74;101;121;86;97;109;89;58;52;124;80;19,,0.143564,14;74;101;121;86;97;109;89;58;52;124;80;19,121;428;482;519;452;474;498;458;396;384;525;439,26.2475,42.2322,45.1767,45.1768,1024_5176,79,0,79,11.3415
952,0,14,19,1,transit,AM,0,45.1768,42232.2,120;426;480;517;450;472;496;456;394;382;523;437,14;73;100;120;85;96;108;88;57;51;123;79;19,,0.774248,14;73;100;120;85;96;108;88;57;51;123;79;19,120;426;480;517;450;472;496;456;394;382;523;437,26.2475,42.2322,45.1767,45.1768,1013_5153,79,0,79,61.1656
